|Ministério da Educação|
|Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira|
Taxas de Rendimento Escolar, Abandono||


Ano|Código da Escola|Taxa de Abandono no Ensino Médio (%)
2015|25050427|13,9
2016|25050427|9,3
2017|25050427|8
2018|25050427|8,4
2019|25050427|19,8
2020|25050427|0
2021|25050427|0
2014|25050435|-
2015|25050435|14,1
2016|25050435|12,5
2017|25050435|21,6
2018|25050435|3,4
2019|25050435|0
2020|25050435|0,7
2021|25050435|0
2018|25050486|11,2
2019|25050486|10,9
2020|25050486|0,8
2021|25050486|8,2
2014|25051296|-
2015|25051296|8,3
2016|25051296|9,6
2017|25051296|10,6
2018|25051296|8,3
2019|25051296|8,9
2020|25051296|0,9
2021|25051296|6,1
2014|25051563|-
2014|25051580|-
2015|25051580|15,2
2016|25051580|11,1
2017|25051580|9,3
2018|25051580|13,2
2019|25051580|2,1
2020|25051580|0
2021|25051580|0
2014|25051598|-
2015|25051598|4,2
2016|25051598|11,3
2017|25051598|18,4
2018|25051598|7,3
2019|25051598|4,8
2020|25051598|0
2021|25051598|5,8
2014|25051660|-
2015|25051660|5,7
2016|25051660|14,3
2017|25051660|5
2018|25051660|5,9
2019|25051660|3,4
2020|25051660|10,1
2021|25051660|0
2014|25052497|-
2015|25052497|7,9
2016|25052497|8,9
2017|25052497|4,6
2018|25052497|6,3
2019|25052497|6,3
2020|25052497|0
2021|25052497|0
2014|25052730|-
2014|25052802|-
2015|25052802|13,7
2016|25052802|9,6
2017|25052802|12,2
2018|25052802|14,8
2019|25052802|3,4
2020|25052802|0
2021|25052802|0
2014|25053124|-
2015|25053124|3,3
2016|25053124|7
2017|25053124|6,8
2018|25053124|4,8
2019|25053124|4,7
2020|25053124|0,9
2021|25053124|1,6
2020|25053159|1,1
2021|25053159|0
2014|25053493|-
2015|25053493|10,3
2016|25053493|10
2017|25053493|4,2
2018|25053493|0
2019|25053493|0
2020|25053493|0
2021|25053493|0
2014|25053647|-
2015|25053647|6,6
2016|25053647|3,2
2017|25053647|4,8
2018|25053647|11,4
2019|25053647|4,8
2020|25053647|1,5
2021|25053647|10,5
2014|25053728|-
2015|25053728|21,5
2016|25053728|40,7
2017|25053728|23
2018|25053728|16,7
2019|25053728|12,9
2020|25053728|0
2021|25053728|0
2014|25054023|-
2015|25054023|9,2
2016|25054023|8,1
2017|25054023|11,7
2018|25054023|4,8
2019|25054023|6,3
2020|25054023|0
